Date,LGA,Confirmed cases (ever),Active cases (current),
8/06/2020,ALPINE,1,1,
9/06/2020,ALPINE,1,1,
10/06/2020,ALPINE,1,1,
11/06/2020,ALPINE,1,1,
12/06/2020,ALPINE,1,1,
13/06/2020,ALPINE,1,1,
14/06/2020,ALPINE,1,1,
15/06/2020,ALPINE,1,1,
16/06/2020,ALPINE,1,1,
17/06/2020,ALPINE,1,0,
18/06/2020,ALPINE,1,0,
19/06/2020,ALPINE,1,0,
20/06/2020,ALPINE,1,0,
21/06/2020,ALPINE,1,0,
22/06/2020,ALPINE,1,0,
23/06/2020,ALPINE,1,0,
24/06/2020,ALPINE,1,0,
25/06/2020,ALPINE,1,0,
26/06/2020,ALPINE,1,0,
27/06/2020,ALPINE,1,0,
28/06/2020,ALPINE,1,0,
29/06/2020,ALPINE,1,0,
30/06/2020,ALPINE,1,0,
1/07/2020,ALPINE,1,0,
2/07/2020,ALPINE,1,0,
3/07/2020,ALPINE,1,0,
4/07/2020,ALPINE,1,0,
5/07/2020,ALPINE,1,0,
6/07/2020,ALPINE,1,0,
7/07/2020,ALPINE,1,0,
8/07/2020,ALPINE,1,0,
9/07/2020,ALPINE,1,0,
10/07/2020,ALPINE,1,0,
11/07/2020,ALPINE,1,0,
12/07/2020,ALPINE,1,0,
13/07/2020,ALPINE,1,0,
14/07/2020,ALPINE,1,0,
15/07/2020,ALPINE,1,0,
16/07/2020,ALPINE,1,0,
17/07/2020,ALPINE,1,0,
18/07/2020,ALPINE,1,0,
19/07/2020,ALPINE,1,0,
20/07/2020,ALPINE,1,0,
21/07/2020,ALPINE,1,0,
22/07/2020,ALPINE,1,0,
23/07/2020,ALPINE,1,0,
24/07/2020,ALPINE,1,0,
25/07/2020,ALPINE,1,0,
26/07/2020,ALPINE,1,0,
27/07/2020,ALPINE,1,0,
28/07/2020,ALPINE,1,0,
29/07/2020,ALPINE,1,0,
30/07/2020,ALPINE,1,0,
7/05/2020,ARARAT,1,0,
8/05/2020,ARARAT,1,0,
9/05/2020,ARARAT,1,0,
10/05/2020,ARARAT,1,0,
11/05/2020,ARARAT,4,0,
12/05/2020,ARARAT,5,0,
13/05/2020,ARARAT,5,0,
18/05/2020,ARARAT,5,0,
20/05/2020,ARARAT,5,0,
21/05/2020,ARARAT,5,0,
22/05/2020,ARARAT,5,0,
23/05/2020,ARARAT,5,0,
24/05/2020,ARARAT,5,0,
25/05/2020,ARARAT,5,0,
26/05/2020,ARARAT,5,0,
27/05/2020,ARARAT,5,0,
28/05/2020,ARARAT,5,0,
29/05/2020,ARARAT,5,0,
30/05/2020,ARARAT,5,0,
31/05/2020,ARARAT,5,0,
1/06/2020,ARARAT,5,0,
2/06/2020,ARARAT,5,0,
3/06/2020,ARARAT,5,0,
4/06/2020,ARARAT,5,0,
5/06/2020,ARARAT,5,0,
6/06/2020,ARARAT,5,0,
7/06/2020,ARARAT,5,0,
8/06/2020,ARARAT,5,0,
9/06/2020,ARARAT,5,0,
10/06/2020,ARARAT,5,0,
11/06/2020,ARARAT,5,0,
12/06/2020,ARARAT,5,0,
13/06/2020,ARARAT,5,0,
14/06/2020,ARARAT,5,0,
15/06/2020,ARARAT,5,0,
16/06/2020,ARARAT,5,0,
17/06/2020,ARARAT,5,0,
18/06/2020,ARARAT,5,0,
19/06/2020,ARARAT,5,0,
20/06/2020,ARARAT,5,0,
21/06/2020,ARARAT,5,0,
22/06/2020,ARARAT,5,0,
23/06/2020,ARARAT,5,0,
24/06/2020,ARARAT,5,0,
25/06/2020,ARARAT,5,0,
26/06/2020,ARARAT,5,0,
27/06/2020,ARARAT,5,0,
28/06/2020,ARARAT,5,0,
29/06/2020,ARARAT,5,0,
30/06/2020,ARARAT,5,0,
1/07/2020,ARARAT,5,0,
2/07/2020,ARARAT,5,0,
3/07/2020,ARARAT,5,0,
4/07/2020,ARARAT,5,0,
5/07/2020,ARARAT,5,0,
6/07/2020,ARARAT,5,0,
7/07/2020,ARARAT,5,0,
8/07/2020,ARARAT,5,0,
9/07/2020,ARARAT,5,0,
10/07/2020,ARARAT,5,0,
11/07/2020,ARARAT,5,0,
12/07/2020,ARARAT,5,0,
13/07/2020,ARARAT,5,0,
14/07/2020,ARARAT,5,0,
15/07/2020,ARARAT,5,0,
16/07/2020,ARARAT,5,0,
17/07/2020,ARARAT,5,0,
18/07/2020,ARARAT,5,0,
19/07/2020,ARARAT,5,0,
20/07/2020,ARARAT,5,0,
21/07/2020,ARARAT,5,0,
22/07/2020,ARARAT,5,0,
23/07/2020,ARARAT,5,0,
24/07/2020,ARARAT,5,0,
25/07/2020,ARARAT,5,0,
26/07/2020,ARARAT,5,0,
27/07/2020,ARARAT,5,0,
28/07/2020,ARARAT,5,0,
29/07/2020,ARARAT,6,1,
30/07/2020,ARARAT,6,1,
15/05/2020,ARARAT *,5,0,
16/05/2020,ARARAT *,5,0,
17/05/2020,ARARAT *,5,0,
14/05/2020,ARARAT*,5,0,
19/05/2020,ARARAT*,5,0,
7/05/2020,BALLARAT,9,1,
8/05/2020,BALLARAT,9,1,
9/05/2020,BALLARAT,9,1,
10/05/2020,BALLARAT,9,0,
11/05/2020,BALLARAT,9,0,
12/05/2020,BALLARAT,9,0,
13/05/2020,BALLARAT,10,1,
14/05/2020,BALLARAT,10,1,
15/05/2020,BALLARAT,10,1,
16/05/2020,BALLARAT,10,1,
17/05/2020,BALLARAT,11,1,
18/05/2020,BALLARAT,11,1,
19/05/2020,BALLARAT,11,1,
20/05/2020,BALLARAT,11,0,
21/05/2020,BALLARAT,11,0,
22/05/2020,BALLARAT,11,0,
23/05/2020,BALLARAT,11,0,
24/05/2020,BALLARAT,11,0,
25/05/2020,BALLARAT,11,0,
26/05/2020,BALLARAT,11,0,
27/05/2020,BALLARAT,11,0,
28/05/2020,BALLARAT,12,1,
29/05/2020,BALLARAT,11,0,
30/05/2020,BALLARAT,11,0,
31/05/2020,BALLARAT,11,0,
1/06/2020,BALLARAT,11,0,
2/06/2020,BALLARAT,11,0,
3/06/2020,BALLARAT,11,0,
4/06/2020,BALLARAT,11,0,
5/06/2020,BALLARAT,11,0,
6/06/2020,BALLARAT,11,0,
7/06/2020,BALLARAT,11,0,
8/06/2020,BALLARAT,11,0,
9/06/2020,BALLARAT,11,0,
10/06/2020,BALLARAT,11,0,
11/06/2020,BALLARAT,11,0,
12/06/2020,BALLARAT,11,0,
13/06/2020,BALLARAT,11,0,
14/06/2020,BALLARAT,11,0,
15/06/2020,BALLARAT,11,0,
16/06/2020,BALLARAT,11,0,
17/06/2020,BALLARAT,11,0,
18/06/2020,BALLARAT,11,0,
19/06/2020,BALLARAT,11,0,
20/06/2020,BALLARAT,11,0,
21/06/2020,BALLARAT,11,0,
22/06/2020,BALLARAT,11,0,
23/06/2020,BALLARAT,11,0,
24/06/2020,BALLARAT,11,0,
25/06/2020,BALLARAT,11,0,
26/06/2020,BALLARAT,11,0,
27/06/2020,BALLARAT,11,0,
28/06/2020,BALLARAT,11,0,
29/06/2020,BALLARAT,11,0,
30/06/2020,BALLARAT,11,0,
1/07/2020,BALLARAT,11,0,
2/07/2020,BALLARAT,11,0,
3/07/2020,BALLARAT,11,0,
4/07/2020,BALLARAT,11,0,
5/07/2020,BALLARAT,11,0,
6/07/2020,BALLARAT,11,0,
7/07/2020,BALLARAT,11,0,
8/07/2020,BALLARAT,11,0,
9/07/2020,BALLARAT,11,0,
10/07/2020,BALLARAT,11,0,
11/07/2020,BALLARAT,11,0,
12/07/2020,BALLARAT,11,0,
13/07/2020,BALLARAT,11,0,
14/07/2020,BALLARAT,11,0,
15/07/2020,BALLARAT,11,0,
16/07/2020,BALLARAT,12,1,
17/07/2020,BALLARAT,16,5,
18/07/2020,BALLARAT,19,8,
19/07/2020,BALLARAT,19,8,
20/07/2020,BALLARAT,20,9,
21/07/2020,BALLARAT,20,9,
22/07/2020,BALLARAT,21,10,
23/07/2020,BALLARAT,23,11,
24/07/2020,BALLARAT,23,11,
25/07/2020,BALLARAT,24,11,
26/07/2020,BALLARAT,24,11,
27/07/2020,BALLARAT,24,10,
28/07/2020,BALLARAT,24,10,
29/07/2020,BALLARAT,24,10,
30/07/2020,BALLARAT,24,10,
7/05/2020,BANYULE,86,4,
8/05/2020,BANYULE,87,5,
9/05/2020,BANYULE,87,4,
10/05/2020,BANYULE,87,3,
11/05/2020,BANYULE,87,3,
12/05/2020,BANYULE,88,3,
13/05/2020,BANYULE,88,2,
14/05/2020,BANYULE,88,2,
15/05/2020,BANYULE,88,2,
16/05/2020,BANYULE,89,2,
17/05/2020,BANYULE,89,3,
18/05/2020,BANYULE,89,3,
19/05/2020,BANYULE,90,3,
20/05/2020,BANYULE,90,1,
21/05/2020,BANYULE,91,1,
22/05/2020,BANYULE,91,1,
23/05/2020,BANYULE,91,2,
24/05/2020,BANYULE,91,2,
25/05/2020,BANYULE,91,1,
26/05/2020,BANYULE,91,1,
27/05/2020,BANYULE,91,1,
28/05/2020,BANYULE,91,1,
29/05/2020,BANYULE,91,1,
30/05/2020,BANYULE,90,1,
31/05/2020,BANYULE,90,1,
1/06/2020,BANYULE,90,1,
2/06/2020,BANYULE,91,2,
3/06/2020,BANYULE,91,1,
4/06/2020,BANYULE,91,1,
5/06/2020,BANYULE,91,1,
6/06/2020,BANYULE,91,1,
7/06/2020,BANYULE,91,1,
8/06/2020,BANYULE,91,1,
9/06/2020,BANYULE,91,1,
10/06/2020,BANYULE,92,2,
11/06/2020,BANYULE,93,3,
12/06/2020,BANYULE,93,3,
13/06/2020,BANYULE,94,3,
14/06/2020,BANYULE,94,2,
15/06/2020,BANYULE,94,1,
16/06/2020,BANYULE,94,1,
17/06/2020,BANYULE,94,1,
18/06/2020,BANYULE,94,0,
19/06/2020,BANYULE,95,1,
20/06/2020,BANYULE,95,1,
21/06/2020,BANYULE,95,0,
22/06/2020,BANYULE,95,0,
23/06/2020,BANYULE,95,0,
24/06/2020,BANYULE,95,0,
25/06/2020,BANYULE,95,0,
26/06/2020,BANYULE,95,0,
27/06/2020,BANYULE,95,0,
28/06/2020,BANYULE,95,0,
29/06/2020,BANYULE,96,1,
30/06/2020,BANYULE,97,2,
1/07/2020,BANYULE,98,3,
2/07/2020,BANYULE,99,4,
3/07/2020,BANYULE,99,3,
4/07/2020,BANYULE,99,3,
5/07/2020,BANYULE,99,3,
6/07/2020,BANYULE,99,3,
7/07/2020,BANYULE,104,8,
8/07/2020,BANYULE,108,11,
9/07/2020,BANYULE,110,13,
10/07/2020,BANYULE,116,18,
11/07/2020,BANYULE,126,28,
12/07/2020,BANYULE,136,38,
13/07/2020,BANYULE,140,42,
14/07/2020,BANYULE,149,51,
15/07/2020,BANYULE,162,63,
16/07/2020,BANYULE,178,79,
17/07/2020,BANYULE,207,107,
18/07/2020,BANYULE,211,110,
19/07/2020,BANYULE,226,124,
20/07/2020,BANYULE,233,122,
21/07/2020,BANYULE,242,130,
22/07/2020,BANYULE,264,145,
23/07/2020,BANYULE,265,140,
24/07/2020,BANYULE,275,139,
25/07/2020,BANYULE,288,147,
26/07/2020,BANYULE,301,153,
27/07/2020,BANYULE,305,151,
28/07/2020,BANYULE,309,144,
29/07/2020,BANYULE,316,144,
30/07/2020,BANYULE,324,144,
7/05/2020,BASS COAST,4,0,
8/05/2020,BASS COAST,4,0,
9/05/2020,BASS COAST,4,0,
10/05/2020,BASS COAST,4,0,
11/05/2020,BASS COAST,4,0,
12/05/2020,BASS COAST,4,0,
13/05/2020,BASS COAST,4,0,
14/05/2020,BASS COAST,4,0,
15/05/2020,BASS COAST,4,0,
16/05/2020,BASS COAST,4,0,
17/05/2020,BASS COAST,4,0,
18/05/2020,BASS COAST,4,0,
19/05/2020,BASS COAST,4,0,
20/05/2020,BASS COAST,4,0,
21/05/2020,BASS COAST,4,0,
22/05/2020,BASS COAST,4,0,
23/05/2020,BASS COAST,4,0,
24/05/2020,BASS COAST,4,0,
25/05/2020,BASS COAST,4,0,
26/05/2020,BASS COAST,4,0,
27/05/2020,BASS COAST,4,0,
28/05/2020,BASS COAST,4,0,
29/05/2020,BASS COAST,4,0,
30/05/2020,BASS COAST,4,0,
31/05/2020,BASS COAST,4,0,
1/06/2020,BASS COAST,4,0,
2/06/2020,BASS COAST,4,0,
3/06/2020,BASS COAST,4,0,
4/06/2020,BASS COAST,4,0,
5/06/2020,BASS COAST,4,0,
6/06/2020,BASS COAST,4,0,
7/06/2020,BASS COAST,4,0,
8/06/2020,BASS COAST,4,0,
9/06/2020,BASS COAST,4,0,
10/06/2020,BASS COAST,4,0,
11/06/2020,BASS COAST,4,0,
12/06/2020,BASS COAST,4,0,
13/06/2020,BASS COAST,4,0,
14/06/2020,BASS COAST,4,0,
15/06/2020,BASS COAST,4,0,
16/06/2020,BASS COAST,4,0,
17/06/2020,BASS COAST,4,0,
18/06/2020,BASS COAST,4,0,
19/06/2020,BASS COAST,4,0,
20/06/2020,BASS COAST,4,0,
21/06/2020,BASS COAST,4,0,
22/06/2020,BASS COAST,4,0,
23/06/2020,BASS COAST,4,0,
24/06/2020,BASS COAST,4,0,
25/06/2020,BASS COAST,4,0,
26/06/2020,BASS COAST,4,0,
27/06/2020,BASS COAST,4,0,
28/06/2020,BASS COAST,4,0,
29/06/2020,BASS COAST,4,0,
30/06/2020,BASS COAST,4,0,
1/07/2020,BASS COAST,4,0,
